identifiant;libelle_du_site;caracteristique_du_site;adresse;complement_d_adresse;lieu_dit;code_postal;departement;localite;pays;wgs84;precision_du_geocodage;numero_de_telephone;changeur_de_monnaie;distributeur_de_billets;distributeur_de_timbres;photocopie;bornes_de_rechargement_moneo;affranchissement_libre_service;distributeur_pret_a_poster;accessibilite_absence_de_ressaut_de_plus_de_2_cm_de_haut;accessibilite_automate_d_affranchissement_avec_prise_audio;accessibilite_borne_sonore_en_etat_de_fonctionnement;accessibilite_boucle_magnetique_en_etat_de_fonctionnement;accessibilite_distributeur_de_billets_avec_prise_audio;accessibilite_entree_autonome_en_fauteuil_roulant_possible;accessibilite_espace_de_circulation_interieur_suffisant_pour_pmr;accessibilite_pas_d_escalier_ou_bandes_de_vigilance_presentes;accessibilite_presence_d_un_espace_confidentiel_accessible_pmr;accessibilite_presence_d_un_gab_externe_accessible_pmr;accessibilite_presence_d_un_guichet_surbaisse_ou_d_un_ecritoire;accessibilite_presence_d_un_panneau_prioritaire;accessibilite_presence_d_une_bande_de_guidage_au_sol
14982A;LE MESNIL LE ROI BP;Bureau de poste;AVENUE DE POISSY;CENTRE COMMERCIAL;;78600;78;LE MESNIL LE ROI;FRANCE;48.942397, 2.125278;Géocodé au numéro;3631;Non;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non
14986A;MONTALET LE BOIS AP;Agence postale;2 RUE EGLISE;;;78440;78;MONTALET LE BOIS;FRANCE;49.045995, 1.825776;Géocodé au numéro;134753835;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
14991A;NEAUPHLE LE CHATEAU;Bureau de poste;11 RUE MARIUS MINNARD;;;78640;78;NEAUPHLE LE CHATEAU;FRANCE;48.8149, 1.904837;Géocodé au numéro;3631;Oui;Oui;Non;Oui;Oui;Oui;Non;Non;Non;Non;Oui;Oui;Non;Non;Non;Non;Non;Non;Oui;Oui
14996A;ORGEVAL;Bureau de poste;23 RUE DE FEUCHEROLLES;;;78630;78;ORGEVAL;FRANCE;48.9186, 1.975578;Géocodé au numéro;3631;Oui;Non;Non;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
14998A;LE RELAIS DU CLAIR DE LUNE AP;Relais poste commerçant;PLACE  GEORGES POMPIDOU;;;78910;78;ORVILLIERS;FRANCE;48.8581, 1.641839;Géocodé au centre de la commune;134942094;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
15004A;LE PORT MARLY BP;Bureau de poste;9 AVENUE SIMON VOUET;;;78560;78;LE PORT MARLY;FRANCE;48.878394, 2.111859;Géocodé au numéro;3631;Oui;Oui;Non;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
15005A;LA QUEUE LES YVELINES BP;Bureau de poste;2 RUE DE LA GARE;;;78940;78;LA QUEUE LES YVELINES;FRANCE;48.80617, 1.767559;Géocodé au numéro;3631;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Oui;Non;Non
15013A;SAINT NOM LA BRETECHE BP;Bureau de poste;2 RUE MICHEL PEROT;;;78860;78;ST NOM LA BRETECHE;FRANCE;48.86, 2.022216;Géocodé au numéro;3631;Oui;Non;Non;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
15019A;THIVERVAL GRIGNON AP;Agence postale;;AVENUE LUCIEN BRETIGNIERES;;78850;78;THIVERVAL GRIGNON;FRANCE;48.850597, 1.916646;Géocodé au centre de la commune;130544500;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
15022A;TRAPPES;Bureau de poste;2 RUE LEO LAGRANGE;;;78190;78;TRAPPES;FRANCE;48.777194, 1.98634;Géocodé au numéro;3631;Oui;Oui;Non;Oui;Oui;Oui;Non;Oui;Oui;Non;Oui;Oui;Oui;Oui;Non;Non;Oui;Non;Oui;Oui
